,names,address,phone,web,description,category,city,link,long,lat,principal
42,CrossFit 502 - Dinamia,"Dinamia Cayalá, Zona 16 ",2368 5013,https://www.facebook.com/CF502/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Office+Depot+Dinamia+Cayal%C3%A1/@14.6104396,-90.4913717,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a302176c66d9:0xf28c2b96ae767a45!8m2!3d14.6104398!4d-90.4826169",-90.4913717,14.6104396,"{'type': 'Point', 'coordinates': ['-90.4913717', '14.6104396']}"
43,CrossFit 502 -Escala," C.C. Escala, Carretera a El Salvador",6637 3778,https://www.facebook.com/CF502/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Escala/@14.5592341,-90.4706406,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a4a4307defe7:0x454b8065d7281a8!8m2!3d14.5592343!4d-90.4618858",-90.4706406,14.5592341,"{'type': 'Point', 'coordinates': ['-90.4706406', '14.5592341']}"
44,CrossFit FD6,"Plaza Futeca, Zona 14 ",2213 6900,https://www.facebook.com/d6lifechangingfitness/,"Todos los entrenadores tienen certificación de CrossFit Level-1 Trainer por lo que cualquier persona puede tener la confianza que está siendo atendido por alguien capacitado.

Nos caracterizamos por ofrecer una atención profesional y personalizada y damos nuestro máximo esfuerzo por realizar entrenos divertidos, variados y efectivos. Estamos seguros que desde el primer entreno la persona sentirá los cambios de nuestra metodología a la de un gimnasio tradicional.",crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Crossfit+FD6+Z.14/@14.6022033,-90.6047275,12z/data=!4m8!1m2!2m1!1sCrossFit+FD6!3m4!1s0x8589a3e8dc58cdad:0xf5e617c6fad386d0!8m2!3d14.5836527!4d-90.5144054",-90.6047275,14.6022033,"{'type': 'Point', 'coordinates': ['-90.6047275', '14.6022033']}"
45,Crossfit FD6," C.C. Miraflores, Zona 11",2225 3200,https://www.facebook.com/d6lifechangingfitness/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Crossfit+FD6+Miraflores/@14.6021824,-90.6047276,12z/data=!4m8!1m2!2m1!1sCrossFit+FD6!3m4!1s0x8589a1af744da4e1:0x3c98f7bb70cb90c1!8m2!3d14.6207747!4d-90.5549686",-90.6047276,14.6021824,"{'type': 'Point', 'coordinates': ['-90.6047276', '14.6021824']}"
46,CrossFit Habit,17 Avenida 24-45 Zona 11,tel:+(502) 5599-9990,https://directorio.guatemala.com/listing_reports.php?report=website&id=258,"CrossFit es un programa de entrenamiento con ejercicios funcionales con entrenamientos de alta intensidad y corta duración. 

CrossFit HABIT nace con la idea de buscar moldear continuamente de manera segura, eficiente y eficaz la práctica de este deporte y aumentar la capacidad de trabajo de nuestros atletas a través del tiempo haciendo de CrossFit un estilo de vida.",Crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Crossfit+Habit/@14.6045277,-90.5698451,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a103cb823f49:0x9678a105b04a19b5!8m2!3d14.6045279!4d-90.5610903",-90.5698451,14.6045277,"{'type': 'Point', 'coordinates': ['-90.5698451', '14.6045277']}"
47,CrossFit Spring City Once,"C.C. Via Majadas, Zona 11 ",2473 7396,https://www.facebook.com/OaksCrossFit/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/Via+Majadas,+Cdad.+de+Guatemala,+Guatemala/@14.6208767,-90.5689198,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1adc409025f:0xca2854b439f2f3f8!8m2!3d14.6208769!4d-90.560165",-90.5689198,14.6208767,"{'type': 'Point', 'coordinates': ['-90.5689198', '14.6208767']}"
48,CrossFit Spring City Once," Expobodegas Petapa, Zona 12",2477 4632,https://www.facebook.com/crossfitspringcity7/,crossfit,crossfit,Guatemala - Guatemala,"https://www.google.com/maps/place/CrossFit+Spring+City+7/@14.5687916,-90.5570252,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a13469dcdf9b:0x47f16fc6d641f248!8m2!3d14.5687918!4d-90.5482704",-90.5570252,14.5687916,"{'type': 'Point', 'coordinates': ['-90.5570252', '14.5687916']}"
49,Cubana De Aviacion,13 Cl 2Do Nivel Local 29 3-40 Zona 10,(+502) 2367 2288,,,hipodromos,Guatemala - Guatemala,"https://www.google.com/maps/place/13+Calle+340,+Cdad.+de+Guatemala,+Guatemala/@14.5985542,-90.5150594,17.14z/data=!4m5!3m4!1s0x8589a3c590e43a37:0x79824f382f09edc3!8m2!3d14.5989554!4d-90.5132555",-90.5150594,14.5985542,"{'type': 'Point', 'coordinates': ['-90.5150594', '14.5985542']}"
50,Curves - Quetzaltenango,"Avenida 9-66 Zona 3, Plaza Delco C.P. 9001 ",Teléfono: (502) 7763 6831,https://www.curveslatinoamerica.com/guatemala.html#,"Curves es un gimnasio para mujeres, la franquicia ofrece un programa de perdida de peso saludable y razonable.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Tu+Closet+xela+502/@14.8506216,-91.5680128,13z/data=!4m8!1m2!2m1!1splaza+delco+quetzaltenango!3m4!1s0x858ea2ab3b581ed1:0x3c0c3a8883e8a9b8!8m2!3d14.84127!4d-91.5178435",-91.5680128,14.8506216,"{'type': 'Point', 'coordinates': ['-91.5680128', '14.8506216']}"
51,Curves Las Puertas,Centro Comercial Las Puertas,#ubicacion,,Gimnasio Curves también está ubicado en el Centro Comercial Las Puertas en San Lucas Sacatepéquez.,"Pilates, TRX, Zumba",Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Las+Puertas+San+Lucas/@14.6094205,-90.6672596,15z/data=!3m1!4b1!4m5!3m4!1s0x85890b9f8bad43b9:0x8041a1764c77ba2a!8m2!3d14.6094207!4d-90.6585048",-90.6672596,14.6094205,"{'type': 'Point', 'coordinates': ['-90.6672596', '14.6094205']}"
52,Curves Miraflores,Calzada Roosevelt 21 Avenida Zona 11,tel:+(502) 2269-7369,https://directorio.guatemala.com/listing_reports.php?report=website&id=531,"Curves trabaja los principales grupos musculares con un entrenamiento completo de 30 minutos que combina ejercicio de fuerza y actividad cardiovascular sostenida a través de equipos de resistencia hidráulica. 

Curves también trabaja para ayudar a las mujeres a perder peso, obtener fuerza muscular y capacidad aeróbica y aumentar el metabolismo con su innovador y científicamente probado método que termina con la necesidad de dietas permanentes. 

Gary y Diane Heavin fundadores son considerados como innovadores del fenómeno que ha facilitado ejercitarse a más de 4 millones de mujeres en todo el mundo, muchas de las cuales están en el gimnasio por primera vez. Con 10.000 clubs en 89 países, Curves es la franquicia de fitness más grande del mundo.","Pilates, Yoga, Zumba",Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Miraflores/@14.621449,-90.5901343,13z/data=!4m8!1m2!2m1!1scalzada+roosvelt+21+avenida+zona+11!3m4!1s0x0:0xa26cbe7b9f7a7385!8m2!3d14.6212919!4d-90.5531037",-90.5901343,14.621449,"{'type': 'Point', 'coordinates': ['-90.5901343', '14.621449']}"
53,Curves San Cristóbal,"Blvd. San Cristóbal, 16-70 Zona 8",tel:+(502) 2480-8438,https://directorio.guatemala.com/listing_reports.php?report=website&id=1842,"Curves trabaja los principales grupos musculares con un entrenamiento completo de 30 minutos que combina ejercicio de fuerza y actividad cardiovascular sostenida a través de equipos de resistencia hidráulica. 

Curves también trabaja para ayudar a las mujeres a perder peso, obtener fuerza muscular y capacidad aeróbica y aumentar el metabolismo con su innovador y científicamente probado método que termina con la necesidad de dietas permanentes. 

Gary y Diane Heavin fundadores son considerados como innovadores del fenómeno que ha facilitado ejercitarse a más de 4 millones de mujeres en todo el mundo, muchas de las cuales están en el gimnasio por primera vez. Con 10.000 clubs en 89 países, Curves es la franquicia de fitness más grande del mundo.","TRX, Zumba Pilates",Guatemala - Guatemala,"https://www.google.com/maps/place/Blvd.+Sur+1670,+Guatemala/@14.5813137,-90.588902,15z/data=!4m5!3m4!1s0x8589a0b88815c343:0x22903d53a8ba7688!8m2!3d14.5792787!4d-90.58328",-90.588902,14.5813137,"{'type': 'Point', 'coordinates': ['-90.588902', '14.5813137']}"
54,Curves Zona 15,"1a. Calle 22-13 Zona 15, Vista Hermosa II",tel:+(502) 2369-2622,https://directorio.guatemala.com/listing_reports.php?report=website&id=1841,"Curves trabaja los principales grupos musculares con un entrenamiento completo de 30 minutos que combina ejercicio de fuerza y actividad cardiovascular sostenida a través de equipos de resistencia hidráulica. 

Curves también trabaja para ayudar a las mujeres a perder peso, obtener fuerza muscular y capacidad aeróbica y aumentar el metabolismo con su innovador y científicamente probado método que termina con la necesidad de dietas permanentes. 

Gary y Diane Heavin fundadores son considerados como innovadores del fenómeno que ha facilitado ejercitarse a más de 4 millones de mujeres en todo el mundo, muchas de las cuales están en el gimnasio por primera vez. Con 10.000 clubs en 89 países, Curves es la franquicia de fitness más grande del mundo.","Yoga, Zumba Pilates",Guatemala - Guatemala,"https://www.google.com/maps/place/Gimnasio+Curves/@14.5881748,-90.4996698,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a39f7d2e5555:0x6890f567796f4caa!8m2!3d14.588175!4d-90.490915",-90.4996698,14.5881748,"{'type': 'Point', 'coordinates': ['-90.4996698', '14.5881748']}"
55,Cy Sport,5 Cl Z 6 V. Nueva Czda Concepcion Plz Villa Nueva,(+502) 6636 6452,,,Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Plaza+Villa+Nueva/@14.5331361,-90.5938251,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a76c5683d0e5:0x875861392309da!8m2!3d14.5331363!4d-90.5850703",-90.5938251,14.5331361,"{'type': 'Point', 'coordinates': ['-90.5938251', '14.5331361']}"
56,Dance Studio,18 Calle 23-30 Zona 10 Plaza Decorisima Local 18,(+502) 2366 5684,http://www.dancestudio.com.gt,,ballet,Guatemala - Guatemala,"https://www.google.com/maps/place/Plaza+Decor%C3%ADsima/@14.5825069,-90.5060998,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a399fffad9cb:0xcc07e632b4121468!8m2!3d14.5825071!4d-90.497345",-90.5060998,14.5825069,"{'type': 'Point', 'coordinates': ['-90.5060998', '14.5825069']}"
57,Dinamic Fitness - CENTRO 21,"<span style=""font-size: xx-large;"">CALZADA SAN JUAN 21-14 </span>","<span style=""font-size: xx-large;"">TEL: 2243-0003</span>",https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+21/@14.6264103,-90.5606009,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a13ee7148155:0x74dbad336e5ab1c2!8m2!3d14.6264105!4d-90.5518461",-90.5606009,14.6264103,"{'type': 'Point', 'coordinates': ['-90.5606009', '14.6264103']}"
58,Dinamic Fitness - FORUM ZONA 10,3ra ave 10-80 Zona 10 Edificio Forum Zona Viva Local 201,TEL: 2214-0707,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Dinamic+Fitness+Forum+Zona+viva/@14.6024819,-90.5221578,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3d895c196f1:0x10fadd0fc49d81c3!8m2!3d14.6024821!4d-90.513403",-90.5221578,14.6024819,"{'type': 'Point', 'coordinates': ['-90.5221578', '14.6024819']}"
59,Dinamic Fitness - PASAJE NARANJO,10 avenida 18-58 zona 4 de mixco Condado Naranjo. C.C. Pasaje Naranjo,,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Pasaje+Naranjo/@14.6559569,-90.5517893,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1e040effd7f:0x17fdb5db0d3f470e!8m2!3d14.6559571!4d-90.5430345",-90.5517893,14.6559569,"{'type': 'Point', 'coordinates': ['-90.5517893', '14.6559569']}"
60,Dinamic Fitness - ROOSEVELT,C.C. Gran Vía Roosevelt Local 31,TEL: 2243-0000,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Dinamic+Fitness+Roosevelt/@14.6248775,-90.5606726,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a1bae39d1011:0xe654be23882cd43b!8m2!3d14.6248777!4d-90.5519178",-90.5606726,14.6248775,"{'type': 'Point', 'coordinates': ['-90.5606726', '14.6248775']}"
61,Dinamic Fitness - VILLA HERMOSA,CENTRO COMERCIAL PACIFIC VILLA HERMOSA,TEL: 2214-0505,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Pacific+villa+hermosa/@14.5253591,-90.5621666,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a7a91b6406e3:0x282833669a094419!8m2!3d14.5253593!4d-90.5534118",-90.5621666,14.5253591,"{'type': 'Point', 'coordinates': ['-90.5621666', '14.5253591']}"
62,Dinamic Fitness - ZONA PORTALES,"3ra. Av. 10-10 Zona 17 km. 4.5 Ruta al Atlantico Zona Portales Guatemala, Guatemala",TEL: 2217-1111,https://dinamic.com.gt/,"Somos un nuevo tipo de gym, un lugar para ponerte en forma. ¡Un lugar para ser feliz!Nuestros programas de ejercicios están diseñados bajo una planificación de entrenamiento cardiovascular y de fuerza. Todo con un soporte científico que garantiza que obtendrás resultados de forma segura.",Gimnasios de Educación Física,Guatemala - Guatemala,"https://www.google.com/maps/place/Dinamic+Fitness+Portales/@14.646914,-90.4917484,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a32223495f6f:0xd03bda381450c21b!8m2!3d14.6469142!4d-90.4829936",-90.4917484,14.646914,"{'type': 'Point', 'coordinates': ['-90.4917484', '14.646914']}"
63,Equinox Gym Santa Amelia,"Blvd. Hospital Militar 13-27, Zona 16",tel:+(502) 2261-0572,https://directorio.guatemala.com/listing_reports.php?report=website&id=288,"Equinox Gym es más que un gimnasio, es un estilo de vida. Con tres sucursales en las áreas más importantes del país, Equinox espera satisfacer a todos sus clientes con excelentes resultados.",Pesas,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Comercial+Santa+Amelia/@14.6469113,-90.5180132,13z/data=!4m8!1m2!2m1!1ssanta+amelia!3m4!1s0x8589a2e8fc8ea9b3:0x3260c4f090cd8278!8m2!3d14.6250522!4d-90.4714391",-90.5180132,14.6469113,"{'type': 'Point', 'coordinates': ['-90.5180132', '14.6469113']}"
64,Escuela Cubana de Baile,"Bulevar Vista Hermosa 2a. calle 14-85 zona 15, Ciudad de Guatemala Ver mapa.",2369-5571,https://es-la.facebook.com/Escuela-Cubana-de-Baile-110562958135/,"La Escuela Cubana de Baile es un espacio perfecto para aprender a bailar ritmos latinos. Salsa, merengue, bachata, baile en parejas y mucho más. Lo mejor es que son clases personalizadas con muchos ritmos que seguro te encantarán. Cuentan con distintos niveles y podrás aprender el baile en parejas.",Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/Escuela+Cubana+de+Baile/@14.6046467,-90.5096162,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3b16a2fd8a3:0xa422358d8a21aa75!8m2!3d14.6046469!4d-90.5008614",-90.5096162,14.6046467,"{'type': 'Point', 'coordinates': ['-90.5096162', '14.6046467']}"
65,Escuela Municipal de Danza Clásica,"7a. avenida 11-67 zona 1, 2o. Nivel, Ciudad de Guatemala Ver mapa.",2251-1898,https://es-la.facebook.com/EMDCgt/,"¿Amante de la música clásica? En la zona 1 de la Ciudad de Guatemala existe una Escuela Municipal de Danza Clásica en donde se imparten talleres llenos de talento y pasos únicos. Lo mejor es que las mensualidades son cómodas y puedes entrar en distintas etapas del año. Además, este sitio es ideal para conocer personas que aman esta música y a maestros que dedican mucho tiempo a este tipo de danza.",Baile,Guatemala - Guatemala,"https://www.google.com/maps/place/7a+Avenida+11-67,+Cdad.+de+Guatemala,+Guatemala/@14.6373516,-90.5218084,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2165c72fb21:0xfaf2b7f9a0d314cb!8m2!3d14.6373518!4d-90.5130536",-90.5218084,14.6373516,"{'type': 'Point', 'coordinates': ['-90.5218084', '14.6373516']}"
66,Estudio Internacional Awalim Danza Árabe,"3ra calle, 3-59 zona 1 La casona",(+502) 5280 2307,,,ballet,Guatemala - Guatemala,"https://www.google.com/maps/place/Centro+Cultural+%22La+Casona%22/@14.6463551,-90.5241979,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2101e81e7dd:0x2f6df23911930837!8m2!3d14.6463553!4d-90.5154431",-90.5241979,14.6463551,"{'type': 'Point', 'coordinates': ['-90.5241979', '14.6463551']}"
67,Evolution Gym,5a Cl - 8a Av,,,,Gimnasios de Educación Física,Puerto Barrios - Izabal,"https://www.google.com/maps/place/Evolution+Energym/@14.6513959,-90.51198,17.52z/data=!4m5!3m4!1s0x8589a20c6dbf8819:0x639b380e2acda09!8m2!3d14.6515681!4d-90.5102041",-90.51198,14.6513959,"{'type': 'Point', 'coordinates': ['-90.51198', '14.6513959']}"
68,Exerzone,"Blvd. San Cristóbal, 5a. Avenida 3-05 Sector A-3",tel:+(502) 2246-5555,https://directorio.guatemala.com/listing_reports.php?report=website&id=1585,"Health, fun and fitness! Comienza una nueva vida en Exerzone, el gimnasio que te ofrece salud, diversión y mucho más. Clases de baile, aeróbicos, zumba, insanity, pilates, pole dance y otras actividades para ti.",Pesas TRX,Guatemala - Guatemala,"https://www.google.com/maps/place/Exerzone/@14.6129942,-90.6106184,15z/data=!3m1!4b1!4m5!3m4!1s0x85890a80224c197f:0xb88037363aa65ccf!8m2!3d14.6129944!4d-90.6018636",-90.6106184,14.6129942,"{'type': 'Point', 'coordinates': ['-90.6106184', '14.6129942']}"
69,Fed. Nac. De Tenis De Campo De Guatemala,3 Calle 16-75 Zona 15 Colonia Minerva,(+502) 2369 8771,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/Federaci%C3%B3n+Nacional+de+Tennis+de+Guatemala/@14.6025577,-90.506145,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3afd5e578e7:0x59741c091facc354!8m2!3d14.6025579!4d-90.4973902",-90.506145,14.6025577,"{'type': 'Point', 'coordinates': ['-90.506145', '14.6025577']}"
70,Federación Nacional De Ajedrez De Guatemala,Av 10 A 25-01 Z 5,(+502) 2360 8267,,,deportes,Guatemala - Guatemala,"https://www.google.com/maps/place/Federacion+Nacional+de+Ajedrez+Guatemala/@14.6239389,-90.5187886,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a239db30c07b:0x65919102ec61df47!8m2!3d14.6239391!4d-90.5100338",-90.5187886,14.6239389,"{'type': 'Point', 'coordinates': ['-90.5187886', '14.6239389']}"
71,Federacion Nacional De Baloncesto,Gimnasio Nacional Teodoro Palacios Flores Z.5,(+502) 2361 9851,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/Gimnasio+Teodoro+Palacios+Flores,+Cdad.+de+Guatemala,+Guatemala/@14.6231655,-90.5188091,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a2376297e9f1:0x9fe3d4ab96106e3a!8m2!3d14.6230676!4d-90.5102778",-90.5188091,14.6231655,"{'type': 'Point', 'coordinates': ['-90.5188091', '14.6231655']}"
72,Federación Nacional De Beisbol,Av Simeon Cañas Final Zona 2,(+502) 2254 1119,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/Enrique+Trapo+Torrebiarte,+Cdad.+de+Guatemala,+Guatemala/@14.6594384,-90.5116038,17.28z/data=!4m8!1m2!2m1!1sfinal+avenida+simeon+ca%C3%B1as+zona+2!3m4!1s0x858998a0facf39bd:0x55f1dab2ab3a2d3!8m2!3d14.6607765!4d-90.51013",-90.5116038,14.6594384,"{'type': 'Point', 'coordinates': ['-90.5116038', '14.6594384']}"
73,Federación Nacional De Boxeo De Guatemala,24 Cl Palacio De Los Deportes 9-31 Zona 4,(+502) 2361 8263,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/CDAG/@14.6233809,-90.5214317,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a23a0ac615f9:0xc255d05a9437fb96!8m2!3d14.6233811!4d-90.5126769",-90.5214317,14.6233809,"{'type': 'Point', 'coordinates': ['-90.5214317', '14.6233809']}"
74,Federacion Nacional De Ciclismo De Guatemala,26 Cl 9-31 Z.5,(+502) 2332 3979,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/Vel%C3%B3dromo+Nacional+de+Guatemala/@14.5955452,-90.5410631,15z/data=!4m8!1m2!2m1!1sFederacion+Nacional+De+Ciclismo+De+Guatemala!3m4!1s0x8589a1644804605f:0x5b966a441c8907ef!8m2!3d14.5955452!4d-90.5323084",-90.5410631,14.5955452,"{'type': 'Point', 'coordinates': ['-90.5410631', '14.5955452']}"
75,Federación Nacional De Esgrima C.D.A.G.,12 Av 25 Cl Zona 5,(+502) 2331 2680,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/CDAG/@14.6233809,-90.5214317,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a23a0ac615f9:0xc255d05a9437fb96!8m2!3d14.6233811!4d-90.5126769",-90.5214317,14.6233809,"{'type': 'Point', 'coordinates': ['-90.5214317', '14.6233809']}"
76,Federacion Nacional De Futbol,2 Cl 15-57 Zona 15,(+502) 2422 7777,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/Federaci%C3%B3n+Nacional+de+F%C3%BAtbol+de+Guatemala+(Fedefut)/@14.6027006,-90.5082685,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a3b05480e533:0x8e64d6f461a682d4!8m2!3d14.6027008!4d-90.4995137",-90.5082685,14.6027006,"{'type': 'Point', 'coordinates': ['-90.5082685', '14.6027006']}"
77,"Federacion Nacional De Natacion, Clavados, Polo Acuatico Y Nado Sincronizado",10 Av Z-4,(+502) 2334 1075,http://www.fenadegua.gt,,natacion,Guatemala - Guatemala,"https://www.google.com/maps/place/FEDERACION+DE+NATACION+ZONA+15/@14.6026979,-90.5345333,13z/data=!4m8!1m2!2m1!1sFederacion+Nacional+De+Natacion,+Clavados,+Polo+Acuatico+Y+Nado+Sincronizado!3m4!1s0x0:0xdf14fde24e3e04d4!8m2!3d14.6027603!4d-90.4979253",-90.5345333,14.6026979,"{'type': 'Point', 'coordinates': ['-90.5345333', '14.6026979']}"
78,Federación Nacional De Remo Y Canotaje De Guatemala,26 Cl 9-31 Zona 5,(+502) 2339 3376,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/FEDERACION+NACIONAL+DE+REMO+Y+CANOTAJE+DE+GUATEMALA/@14.6239765,-90.5197708,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a23a750d5793:0x5dff10b416461df2!8m2!3d14.6239767!4d-90.511016",-90.5197708,14.6239765,"{'type': 'Point', 'coordinates': ['-90.5197708', '14.6239765']}"
79,Federación Nacional De Voleibol,Gimnacio 7 De Diciembre Zona 5,(+502) 2434 4006,,,federaciones deportivas,Guatemala - Guatemala,"https://www.google.com/maps/place/Federacion+Nacional+de+Voleibol/@14.6230628,-90.5196608,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a237628abf63:0xdc2063ead9bb3ad4!8m2!3d14.623063!4d-90.510906",-90.5196608,14.6230628,"{'type': 'Point', 'coordinates': ['-90.5196608', '14.6230628']}"
80,Federación Nacional de Gimnasia,"Edificio Polideportivo, Cdad. de Guatemala, Guatemala",,,,,,"https://www.google.com/maps/place/Federaci%C3%B3n+Nacional+De+Gimnasia/@14.6216185,-90.5149467,16.16z/data=!4m8!1m2!2m1!1sfederacion+!3m4!1s0x8589a23742428fcd:0xcd89f2306671c34f!8m2!3d14.6222843!4d-90.5105022",-90.5149467,14.6216185,"{'type': 'Point', 'coordinates': ['-90.5149467', '14.6216185']}"
81,Federación Nacional de Tenis de Mesa,"Edificio Polideportivo, Cdad. de Guatemala, Guatemala",,,,,,"https://www.google.com/maps/place/Federaci%C3%B3n+Nacional+de+Tenis+de+Mesa+de+Guatemala/@14.620465,-90.5134663,16.16z/data=!4m8!1m2!2m1!1sfederacion+!3m4!1s0x0:0x383e3267a71c2a48!8m2!3d14.6222859!4d-90.5097847",-90.5134663,14.620465,"{'type': 'Point', 'coordinates': ['-90.5134663', '14.620465']}"
82,Federación Nacional de Karate,"Edificio Polideportivo, Cdad. de Guatemala, Guatemala",,,,,,"https://www.google.com/maps/place/Federacion+Nacional+De+Karate+De+Guatemala/@14.620465,-90.5134663,16.16z/data=!4m8!1m2!2m1!1sfederacion+!3m4!1s0x0:0xaeaa3fb341b1e0dc!8m2!3d14.6222483!4d-90.5099094",-90.5134663,14.620465,"{'type': 'Point', 'coordinates': ['-90.5134663', '14.620465']}"
83,Federación Nacional de Billar,Estadio Doroteo Guamuch Flores,,,,,,"https://www.google.com/maps/place/Estadio+Doroteo+Guamuch+Flores/@14.6204648,-90.5182988,15z/data=!4m8!1m2!2m1!1sfederacion+nacional+de+billar!3m4!1s0x0:0x1902c611b6c0d6b4!8m2!3d14.6257195!4d-90.5101749",-90.5182988,14.6204648,"{'type': 'Point', 'coordinates': ['-90.5182988', '14.6204648']}"
84,FemmeFit Américas,Avenida Las Américas 14-28,tel:+(502) 2334-5315,https://directorio.guatemala.com/listing_reports.php?report=website&id=513,"FemmeFit es el nuevo standard en gimnasios para mujeres, ofreciendo el mix más completo y efectivo de rutinas de acondicionamiento físico. FemmeFit ofrece un ambiente con estilo y cómodo, pero a la vez retador y motivante. Desde su imagen, sus instalaciones, sus servicios, su personal y hasta el más mínimo detalle fueron inspirados en la mujer moderna, exitosa y activa.","Yoga, Zumba, Calisthenia, Pilates, TRX",Guatemala - Guatemala,"https://www.google.com/maps/place/Femmefit+Fitness+Studio/@14.5954493,-90.5046926,15z/data=!3m1!4b1!4m5!3m4!1s0x8589a356c3826f3f:0x9329f1a07c8fa83b!8m2!3d14.5954495!4d-90.4959378",-90.5046926,14.5954493,"{'type': 'Point', 'coordinates': ['-90.5046926', '14.5954493']}"
